=== Hoogland Variant: ctx=512, d=512 (wider + shorter) ===
2L attn-only, d=512, 16 heads (d_head=32), softmax, no QK norm
Data: DSIR-filtered Pile (streaming), GPT-2 tokenizer, vocab=5000
Batch: 96, n_ctx: 512, tokens/step: 49,152
Max steps: 101,725 (5.0B tokens)
Pile val cache exists at /workspace/tensor-mars/workspaces/logan/cached_tokens/dsir_pile_val_ctx512.pt
Model parameters: 7,222,272 (compiled)
Induction test: 100 seqs, half_len=256, vocab=5000
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Token indices sequence length is longer than the specified maximum sequence length for this model (1287 > 1024). Running this sequence through the model will result in indexing errors
  step 28200/101725  loss=4.8564  tokens=1.386B  elapsed=2797s
  step 28300/101725  loss=4.8361  tokens=1.391B  elapsed=2806s
  step 28400/101725  loss=4.9304  tokens=1.396B  elapsed=2818s
  step 28500/101725  loss=4.9468  tokens=1.401B  elapsed=2829s
  step 28600/101725  loss=5.0018  tokens=1.406B  elapsed=2842s
  step 28700/101725  loss=5.0010  tokens=1.411B  elapsed=2852s
  step 28800/101725  loss=4.9159  tokens=1.416B  elapsed=2866s
  step 28900/101725  loss=4.9638  tokens=1.420B  elapsed=2878s
  step 29000/101725  loss=4.9603  tokens=1.425B  elapsed=2887s
  step 29100/101725  loss=4.9327  tokens=1.430B  elapsed=2899s
  step 29200/101725  loss=4.9644  tokens=1.435B  elapsed=2910s
  step 29300/101725  loss=5.0568  tokens=1.440B  elapsed=2921s
  step 29400/101725  loss=4.9881  tokens=1.445B  elapsed=2931s
  step 29500/101725  loss=4.8720  tokens=1.450B  elapsed=2945s
  step 29600/101725  loss=5.2095  tokens=1.455B  elapsed=2956s
  step 29700/101725  loss=5.0857  tokens=1.460B  elapsed=2967s
  step 29800/101725  loss=5.0360  tokens=1.465B  elapsed=2977s
  step 29900/101725  loss=4.9480  tokens=1.470B  elapsed=2988s
  step 30000/101725  loss=4.9950  tokens=1.475B  elapsed=2999s

  [step 30000, 1.47B tokens] induction_score=0.0186 1st=9.9012 2nd=9.8826 toy_acc=0.000314 (0.0314%)
  step 30100/101725  loss=4.9423  tokens=1.479B  elapsed=3009s
  step 30200/101725  loss=4.8768  tokens=1.484B  elapsed=3024s
  step 30300/101725  loss=4.9003  tokens=1.489B  elapsed=3034s
  step 30400/101725  loss=4.9470  tokens=1.494B  elapsed=3047s
  step 30500/101725  loss=5.0364  tokens=1.499B  elapsed=3057s
  step 30600/101725  loss=5.0809  tokens=1.504B  elapsed=3071s
  step 30700/101725  loss=4.9260  tokens=1.509B  elapsed=3083s
